id,symbol,date,revenue
,HPQ,2010 Q1,7150.00
,HPQ,2009 Q4,7337.00
,HPQ,2009 Q3,6554.00
,HPQ,2009 Q2,6438.00
,HPQ,2009 Q1,6734.00
,HPQ,2008 Q4,7750.00
,HPQ,2008 Q3,6835.00
,HPQ,2008 Q2,7057.00
,HPQ,2008 Q1,7023.00
,HPQ,2007 Q4,7193.00
,HPQ,2007 Q3,6213.00
,HPQ,2007 Q2,6251.00
,HPQ,2007 Q1,5946.00
,HPQ,2006 Q4,5962.00
,HPQ,2006 Q3,5418.00
,HPQ,2006 Q2,5584.00
,HPQ,2006 Q1,5267.00
,HPQ,2005 Q4,5381.00
,HPQ,2005 Q3,4817.00
,HPQ,2005 Q2,5141.00
,SNE,2019 Q1,7869.00
,SNE,2019 Q4,7954.00
,SNE,2018 Q3,7302.00
,SNE,2018 Q2,8640.00
,SNE,2018 Q1,7738.00
,SNE,2018 Q4,6591.00
,SNE,2017 Q3,9473.00
,SNE,2017 Q2,7451.00
,SNE,2017 Q1,6687.00
,SNE,2017 Q4,6592.00
,SNE,2016 Q3,7780.00
,SNE,2016 Q2,6333.00
,SNE,2016 Q1,5802.00
,SNE,2016 Q4,5353.00
,SNE,2015 Q3,7979.00
,SNE,2015 Q2,5537.00
,SNE,2015 Q1,5523.00
,SNE,2015 Q4,6016.00
,SNE,2014 Q3,7499.00
,SNE,2014 Q2,6721.00
,SNE,2014 Q1,6525.00
,SNE,2014 Q4,5866.00
,SNE,2013 Q3,7875.00
,SNE,2013 Q2,6331.00
,SNE,2013 Q1,6200.00
,SNE,2013 Q4,11601.00
,SNE,2012 Q3,7646.00
,SNE,2012 Q2,7176.00
,SNE,2012 Q1,6440.00
,SNE,2012 Q4,5546.00
,SNE,2011 Q3,7184.00
,SNE,2011 Q2,6922.00
,SNE,2011 Q1,6437.00
,SNE,2011 Q4,6994.00
,SNE,2010 Q3,8813.00
,SNE,2010 Q2,7295.00
,SNE,2010 Q1,6199.00
,SNE,2010 Q4,5691.00
,SNE,2009 Q3,7902.00
,SNE,2009 Q2,5849.00
,SNE,2009 Q1,5608.00
