id,symbol,date,revenue
,SNE,30/03/2019,7869
,SNE,30/12/2019,7954
,SNE,30/09/2018,7302
,SNE,30/06/2018,8640
,SNE,30/03/2018,7738
,SNE,30/12/2018,6591
,SNE,30/09/2017,9473
,SNE,30/06/2017,7451
,SNE,30/03/2017,6687
,SNE,30/12/2017,6592
,SNE,30/09/2016,7780
,SNE,30/06/2016,6333
,SNE,30/03/2016,5802
,SNE,30/12/2016,5353
,SNE,30/09/2015,7979
,SNE,30/06/2015,5537
,SNE,30/03/2015,5523
,SNE,30/12/2015,6016
,SNE,30/09/2014,7499
,SNE,30/06/2014,6721
,SNE,30/03/2014,6525
,SNE,30/12/2014,5866
,SNE,30/09/2013,7875
,SNE,30/06/2013,6331
,SNE,30/03/2013,6200
,SNE,30/12/2013,11601
,SNE,30/09/2012,7646
,SNE,30/06/2012,7176
,SNE,30/03/2012,6440
,SNE,30/12/2012,5546
,SNE,30/09/2011,7184
,SNE,30/06/2011,6922
,SNE,30/03/2011,6437
,SNE,30/12/2011,6994
,SNE,30/09/2010,8813
,SNE,30/06/2010,7295
,SNE,30/03/2010,6199
,SNE,30/12/2010,5691
,SNE,30/09/2009,7902
,SNE,30/06/2009,5849
,SNE,30/03/2009,5608
,SNE,30/12/2009,3603
,SNE,30/09/2008,5241
,SNE,30/06/2008,5360
,SNE,30/03/2008,5768
,SNE,30/12/2008,5907
,SNE,30/09/2007,7232
,SNE,30/06/2007,5033
,SNE,30/03/2007,5265
,SNE,30/12/2007,3796
,SNE,30/09/2006,6617
,SNE,30/06/2006,4811
,SNE,30/03/2006,4627
,SNE,30/12/2006,3680
,SNE,30/09/2005,6722
,SNE,30/06/2005,4630
,SNE,30/03/2005,4206
,SNE,30/12/2005,6736
