Date,Symbol,Price,LongTraderNumber,LongLotNumber,LongAverageEntry,ShortTraderNumber,ShortLotNumber,ShortAverageEntry
2019/06/21 16:37:45,GBPUSD,1.26694,223,113.4,1.2835,151,18.1,1.2679
2019/06/21 16:38:14,USDCAD,1.32175,107,31.9,1.3303,88,15.0,1.3129
2019/06/24 15:17:53,EURCHF,1.10989,53,17.7,1.1256,28,5.3,1.1121
2019/06/24 15:18:21,GBPJPY,136.543,176,38.0,140.5,92,14.5,137.91
2019/06/24 15:18:49,USDMXN,19.1669,4,0.2,19.5952,1,0.0,18.9909
2019/06/24 15:19:16,EURGBP,0.8955700000000001,50,6.1,0.8746,135,37.4,0.8791
2019/06/24 15:19:44,EURUSD,1.1386,232,105.2,1.1396,370,567.5,1.132
2019/06/24 15:20:10,GBPCAD,1.6777099999999998,55,25.0,1.7069999999999999,24,3.8,1.6854
2019/06/24 15:20:37,CADJPY,81.377,50,8.4,82.76,51,7.5,81.41
2019/06/24 15:21:04,CHFJPY,110.198,36,2.6,110.77,36,4.0,110.16
2019/06/24 15:21:31,USDCHF,0.97456,97,66.2,0.9909,50,4.5,0.9864
2019/06/24 15:21:59,USDJPY,107.402,200,61.8,109.36,108,13.2,108.69
2019/06/24 15:22:28,EURJPY,122.277,113,8.8,124.22,91,25.5,122.16
2019/06/24 15:22:55,EURCAD,1.50232,43,6.0,1.5035,39,4.5,1.4962
2019/06/24 15:23:23,GBPUSD,1.27141,209,132.6,1.2822,176,52.8,1.2719
2019/06/24 15:23:51,USDCAD,1.31965,115,25.7,1.3327,112,16.4,1.3127
2019/06/26 08:55:32,EURCHF,1.1090799999999998,55,25.3,1.1207,24,1.8,1.113
2019/06/26 08:56:00,GBPJPY,136.156,164,38.0,140.4,89,14.3,137.66
2019/06/26 08:56:27,USDMXN,19.21536,2,0.2,19.6509,3,0.1,19.1827
2019/06/26 08:56:54,EURGBP,0.8963399999999999,44,4.8,0.8691,153,44.6,0.882
2019/06/26 08:57:22,EURUSD,1.13564,242,93.1,1.1397,365,484.1,1.1324
2019/06/26 08:57:49,GBPCAD,1.66882,60,27.5,1.7037,25,2.0,1.6903
2019/06/26 08:58:17,CADJPY,81.57300000000002,55,9.1,82.65,46,6.6,81.42
2019/06/26 08:58:44,CHFJPY,110.086,25,2.7,110.76,35,4.3,110.21
2019/06/26 08:59:13,USDCHF,0.9759200000000001,99,37.9,0.9998,47,4.5,0.9851
2019/06/26 08:59:40,USDJPY,107.482,192,59.8,109.31,113,18.4,107.98
2019/06/26 09:00:06,EURJPY,122.07799999999999,118,9.7,123.9,83,11.7,122.17
2019/06/26 09:00:32,EURCAD,1.49626,42,4.6,1.5051,43,4.4,1.4954
2019/06/26 09:01:00,GBPUSD,1.26731,239,185.0,1.2793,167,25.3,1.2682
2019/06/26 09:01:27,USDCAD,1.31702,118,28.6,1.3311,103,15.2,1.3104
2019/06/28 08:50:09,EURCHF,1.10889,53,17.2,1.1259,30,1.1,1.1161
2019/06/28 08:50:38,GBPJPY,136.484,183,45.2,139.91,73,11.4,138.11
2019/06/28 08:51:06,USDMXN,19.17676,5,1.6,19.2307,2,0.1,19.0729
2019/06/28 08:51:34,EURGBP,0.89749,41,4.9,0.8698,163,47.7,0.8831
2019/06/28 08:52:04,EURUSD,1.13753,256,100.5,1.1399,373,496.3,1.1331
2019/06/28 08:52:32,GBPCAD,1.65907,67,30.2,1.6989,20,1.7,1.6889
2019/06/28 08:53:00,CADJPY,82.249,47,7.1,83.23,52,9.1,81.64
2019/06/28 08:53:28,CHFJPY,110.453,26,2.6,110.97,32,3.9,110.28
2019/06/28 08:53:54,USDCHF,0.975,100,39.3,0.9993,82,9.9,0.9805
2019/06/28 08:54:22,USDJPY,107.704,196,70.2,109.15,128,17.6,108.13
2019/06/28 08:54:49,EURJPY,122.50399999999999,112,11.6,123.76,88,10.5,122.47
2019/06/28 08:55:15,EURCAD,1.4892,51,15.9,1.4961,29,2.5,1.4948
2019/06/28 08:55:43,GBPUSD,1.26744,252,321.9,1.2919,176,159.8,1.2777
2019/06/28 08:56:11,USDCAD,1.30926,134,46.6,1.3234,86,184.6,1.3195
2019/07/01 10:09:19,EURCHF,1.11364,43,17.3,1.1258,28,1.0,1.1182
2019/07/01 10:09:46,GBPJPY,137.093,171,36.1,140.78,78,19.7,137.84
2019/07/01 10:10:13,USDMXN,19.14786,4,0.2,19.5679,2,0.1,19.1395
2019/07/01 10:10:40,EURGBP,0.89449,42,5.5,0.8728,154,40.3,0.8806
2019/07/01 10:11:09,EURUSD,1.13232,255,199.2,1.135,352,422.0,1.1334
2019/07/01 10:11:36,GBPCAD,1.65788,70,31.9,1.6971,21,2.3,1.6737
2019/07/01 10:12:03,CADJPY,82.695,36,4.6,83.83,52,8.8,81.69
2019/07/01 10:12:30,CHFJPY,110.115,23,2.8,110.91,32,3.6,110.41
2019/07/01 10:12:57,USDCHF,0.98344,97,38.6,0.9997,53,8.2,0.9836
2019/07/01 10:13:23,USDJPY,108.298,164,50.3,109.66,102,28.8,108.33
2019/07/01 10:13:51,EURJPY,122.62700000000001,100,8.0,124.5,77,16.7,122.66
2019/07/01 10:14:17,EURCAD,1.48302,62,27.9,1.492,25,1.6,1.4899
2019/07/01 10:14:45,GBPUSD,1.2657,237,338.4,1.2906,163,153.4,1.2782
2019/07/01 10:15:12,USDCAD,1.3098,170,73.2,1.3189,83,210.7,1.3171
2019/07/02 08:17:45,EURCHF,1.1144399999999999,47,17.6,1.1256,34,1.3,1.1174
2019/07/02 08:18:12,GBPJPY,137.028,185,49.0,139.71,71,16.3,137.83
2019/07/02 08:18:39,USDMXN,19.09283,2,0.2,19.6509,2,0.1,19.1406
2019/07/02 08:19:06,EURGBP,0.89328,49,7.9,0.8787,155,44.7,0.8819
2019/07/02 08:19:35,EURUSD,1.1294,294,204.4,1.1333,309,128.8,1.1271
2019/07/02 08:20:02,GBPCAD,1.65779,73,32.0,1.6967,31,3.1,1.67
2019/07/02 08:20:29,CADJPY,82.641,38,4.7,83.81,61,9.8,81.79
2019/07/02 08:20:56,CHFJPY,109.788,21,1.8,111.2,35,6.0,110.11
2019/07/02 08:21:25,USDCHF,0.98713,88,34.2,1.0022,71,40.1,0.9856
2019/07/02 08:21:54,USDJPY,108.382,163,49.3,109.69,125,83.4,108.32
2019/07/02 08:22:22,EURJPY,122.404,100,7.7,124.36,82,8.5,122.45
2019/07/02 08:22:49,EURCAD,1.48104,75,34.0,1.4902,30,3.3,1.4856
2019/07/02 08:23:18,GBPUSD,1.26415,252,314.0,1.2922,194,158.5,1.2776
2019/07/02 08:23:45,USDCAD,1.31143,171,51.0,1.3216,84,310.7,1.3151
2019/07/02 15:08:05,EURCHF,1.11685,50,17.6,1.1256,34,1.9,1.1176
2019/07/02 15:08:33,GBPJPY,136.674,197,88.2,138.37,76,14.7,137.82
2019/07/02 15:08:59,USDMXN,19.05003,2,0.2,19.6509,4,0.3,19.0813
2019/07/02 15:09:26,EURGBP,0.8942,36,5.5,0.8724,165,45.4,0.8822
2019/07/02 15:09:54,EURUSD,1.12968,285,199.7,1.1334,340,142.3,1.1275
2019/07/02 15:10:20,GBPCAD,1.65777,74,35.7,1.6925,27,1.6,1.679
2019/07/02 15:10:46,CADJPY,82.436,40,5.0,83.73,63,12.0,81.93
2019/07/02 15:11:13,CHFJPY,109.437,23,2.1,110.99,34,5.2,110.13
2019/07/02 15:11:39,USDCHF,0.9883200000000001,90,34.6,1.0021,70,45.2,0.9859
2019/07/02 15:12:06,USDJPY,108.168,168,51.3,109.64,125,76.9,108.33
2019/07/02 15:12:33,EURJPY,122.20700000000001,105,9.2,123.98,86,13.9,122.36
2019/07/02 15:13:00,EURCAD,1.48237,79,31.8,1.4907,32,1.4,1.4887
2019/07/02 15:13:27,GBPUSD,1.26389,259,314.9,1.2915,193,168.1,1.2766
