0,1,2
1,GBPUSD,"[[287.77, 160.0], [80.18, 35.0], [-17.07, 60.0], [-59.4, 10.0], [-324.32, 185.0], [-341.7, 85.0], [-380.14, 210.0], [-494.01, 135.0], [-494.12, 110.0]]"
1,GBPUSD,"[[236.58, 60.0], [159.49, 185.0], [121.61, 35.0], [99.58, 160.0], [92.75, 210.0], [36.72, 85.0], [15.7, 10.0], [-93.5, 110.0], [-117.51, 135.0]]"
1,GBPUSD,"[[598.32, 85.0], [581.71, 210.0], [539.23, 185.0], [508.47, 160.0], [465.63, 135.0], [382.26, 60.0], [202.48, 35.0], [98.49, 110.0], [53.3, 10.0]]"
1,GBPUSD,"[[42.3, 10.0], [-153.93, 185.0], [-175.64, 35.0], [-235.07, 210.0], [-263.91, 135.0], [-333.23, 160.0], [-493.91, 60.0], [-493.96, 85.0], [-494.1, 110.0]]"
1,GBPUSD,"[[9.62, 85.0], [-3.05, 60.0], [-19.2, 10.0], [-141.3, 35.0], [-294.6, 110.0], [-493.89, 210.0], [-494.12, 160.0], [-494.17, 135.0], [-494.22, 185.0]]"
1,GBPUSD,"[[249.5, 160.0], [234.46, 210.0], [208.56, 185.0], [54.4, 10.0], [45.63, 60.0], [26.13, 85.0], [18.9, 35.0], [-250.81, 110.0], [-395.99, 135.0]]"
1,GBPUSD,"[[123.48, 185.0], [88.46, 210.0], [56.01, 60.0], [-19.92, 110.0], [-42.83, 135.0], [-67.3, 10.0], [-72.22, 85.0], [-281.14, 35.0], [-494.01, 160.0]]"
1,GBPUSD,"[[124.53, 35.0], [20.6, 10.0], [-149.51, 60.0], [-296.65, 85.0], [-493.62, 160.0], [-493.65, 110.0], [-493.79, 135.0], [-493.91, 185.0], [-494.14, 210.0]]"
1,GBPUSD,"[[0.2, 35.0], [-60.26, 135.0], [-60.9, 10.0], [-69.3, 110.0], [-118.08, 185.0], [-135.06, 160.0], [-188.78, 210.0], [-299.81, 60.0], [-493.77, 85.0]]"
1,GBPUSD,"[[490.56, 110.0], [360.24, 85.0], [325.47, 210.0], [241.62, 60.0], [57.7, 35.0], [-18.26, 135.0], [-57.03, 185.0], [-70.18, 160.0], [-87.9, 10.0]]"
