id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage
,GBPUSD,25/03/2019 00:00,1.32089,1.32169,1.31833,1.31897,6997,1.3188215
,GBPUSD,25/03/2019 04:00,1.31898,1.32001,1.31886,1.31936,6459,1.3185995
,GBPUSD,25/03/2019 08:00,1.31935,1.32181,1.31592,1.3175,23988,1.3182095
,GBPUSD,25/03/2019 12:00,1.3175,1.32454,1.31625,1.32216,31422,1.3178625
,GBPUSD,25/03/2019 16:00,1.32214,1.32446,1.31646,1.31824,28456,1.317449
,GBPUSD,25/03/2019 20:00,1.31824,1.32016,1.31745,1.31939,9120,1.317278
,GBPUSD,26/03/2019 00:00,1.31937,1.32228,1.31865,1.32019,5942,1.317068
,GBPUSD,26/03/2019 04:00,1.32019,1.3203,1.31775,1.31796,6764,1.3171295
,GBPUSD,26/03/2019 08:00,1.31795,1.32221,1.31566,1.32017,23041,1.317274
,GBPUSD,26/03/2019 12:00,1.32016,1.32607,1.31895,1.32202,32839,1.317209
,GBPUSD,26/03/2019 16:00,1.32198,1.32394,1.31995,1.32207,24864,1.317102
,GBPUSD,26/03/2019 20:00,1.32207,1.32318,1.31965,1.32044,10128,1.3171525
,GBPUSD,27/03/2019 00:00,1.32044,1.32142,1.31821,1.31821,7606,1.317401
,GBPUSD,27/03/2019 04:00,1.31821,1.31897,1.31763,1.31825,7509,1.317598
,GBPUSD,27/03/2019 08:00,1.31824,1.32095,1.31655,1.32052,22266,1.31821
,GBPUSD,27/03/2019 12:00,1.32052,1.32459,1.31956,1.32217,36077,1.3185645
,GBPUSD,27/03/2019 16:00,1.32218,1.32462,1.31838,1.32178,38399,1.318919
,GBPUSD,27/03/2019 20:00,1.32178,1.32687,1.31537,1.31578,16872,1.3193225
,GBPUSD,28/03/2019 00:00,1.31586,1.31902,1.31417,1.31794,10354,1.3199205
,GBPUSD,28/03/2019 04:00,1.31794,1.31977,1.3179,1.31928,7154,1.319802
,GBPUSD,28/03/2019 08:00,1.31928,1.31943,1.31244,1.31361,28111,1.3196995
,GBPUSD,28/03/2019 12:00,1.31361,1.31663,1.30735,1.30738,36421,1.319619
,GBPUSD,28/03/2019 16:00,1.30738,1.31087,1.30339,1.30705,33375,1.3193505
,GBPUSD,28/03/2019 20:00,1.30704,1.30704,1.30359,1.30447,10426,1.318752
,GBPUSD,29/03/2019 00:00,1.30445,1.307,1.30441,1.3066,6307,1.318229
,GBPUSD,29/03/2019 04:00,1.30659,1.30754,1.30594,1.30706,6167,1.3173445
,GBPUSD,29/03/2019 08:00,1.30707,1.30849,1.30022,1.30207,23382,1.316762
,GBPUSD,29/03/2019 12:00,1.30207,1.31352,1.30155,1.30796,36592,1.316147
,GBPUSD,29/03/2019 16:00,1.30797,1.30806,1.29767,1.29923,34047,1.315241
,GBPUSD,29/03/2019 20:00,1.29923,1.30351,1.29886,1.3028,9024,1.314742
,GBPUSD,01/04/2019 00:00,1.30381,1.30422,1.3005,1.3018,4233,1.3136955
,GBPUSD,01/04/2019 04:00,1.3018,1.3043,1.30148,1.30429,7190,1.312787
,GBPUSD,01/04/2019 08:00,1.30429,1.30926,1.30426,1.30889,28875,1.3117735
,GBPUSD,01/04/2019 12:00,1.30887,1.31235,1.30798,1.31145,28861,1.310966
,GBPUSD,01/04/2019 16:00,1.31147,1.31491,1.30803,1.31183,28596,1.310499
