Date,Symbol,Price,Hour1Buy,Hour1Sell,Hour1Neutral,Hour4Buy,Hour4Sell,Hour4Neutral,DayBuy,DaySell,DayNeutral,WeekBuy,WeekSell,WeekNeutral,MonthBuy,MonthSell,MonthNeutral,Hour1Desition,Hour4Desition,DayDesition,WeekDesition,MonthDesition,Hour1PeriodStatus,Hour1ClosingPrice,Hour4PeriodStatus,Hour4ClosingPrice,DayPeriodStatus,DayClosingPrice,WeekPeriodStatus,WeekClosingPrice,MonthPeriodStatus,MonthClosingPrice,Hour1Accuracy,Hour1ProfitPercentage,Hour4Accuracy,Hour4ProfitPercentage,DayAccuracy,DayProfitPercentage,WeekAccuracy,WeekProfitPercentage,MonthAccuracy,MonthProfitPercentage
2019-04-17 16:23:13,GBPCAD,1.7381,3,15,10,3,18,7,5,13,9,11,6,10,11,4,8,SELL,SELL,SELL,BUY,BUY,CLOSED,1.7399,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0010345422150698452,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:24:04,CADJPY,83.98,13,5,10,17,2,9,14,7,6,9,8,10,3,11,9,BUY,BUY,BUY,NEUTRAL,SELL,CLOSED,83.89,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0010728334724043798,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:24:55,CHFJPY,110.93,2,17,9,1,19,8,3,15,9,2,18,7,2,12,9,SELL,SELL,SELL,SELL,SELL,CLOSED,110.87,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.0005411743483359093,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:25:46,USDCHF,1.009,19,1,8,20,1,7,17,1,9,16,1,10,12,1,10,BUY,BUY,BUY,BUY,BUY,CLOSED,1.0106,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.0015832178903622065,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:26:36,USDJPY,111.97,9,10,9,10,8,10,17,4,6,17,1,9,13,1,9,SELL,NEUTRAL,BUY,BUY,BUY,CLOSED,111.98,CLOSED,112.08,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-8.930166101094049e-05,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:27:28,EURJPY,126.46,6,13,9,9,9,10,15,4,8,8,10,9,4,10,9,SELL,NEUTRAL,BUY,SELL,SELL,CLOSED,126.56,CLOSED,126.58,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0007901390644754151,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:28:20,CADCHF,0.7569,15,3,10,17,3,8,17,2,8,16,2,9,11,4,8,BUY,BUY,BUY,BUY,BUY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:29:12,EURCAD,1.5055,2,16,10,5,14,9,9,10,8,10,8,9,6,7,10,SELL,SELL,SELL,BUY,NEUTRAL,CLOSED,1.5076,CLOSED,1.5074,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0013929424250464252,0,-0.0012604484542921672,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:30:05,GBPUSD,1.3037,2,17,9,0,19,9,4,14,9,7,11,9,2,12,9,SELL,SELL,SELL,SELL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 16:30:58,USDCAD,1.3325,5,13,10,2,17,9,5,14,8,12,5,10,14,0,9,SELL,SELL,SELL,BUY,BUY,CLOSED,1.3351,CLOSED,1.3352,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0019474196689386082,0,-0.002022168963451112,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:03:06,EURCHF,1.14,13,5,10,18,4,6,17,2,8,13,4,10,10,4,9,BUY,BUY,BUY,BUY,BUY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:04:03,GBPJPY,146.07,9,9,10,7,12,9,14,3,10,12,5,10,8,7,8,NEUTRAL,SELL,BUY,BUY,NEUTRAL,CLOSED,145.91,CLOSED,146.13,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0004105933073291061,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:05:01,USDMXN,18.8202,1,18,9,3,15,10,3,15,9,4,16,7,4,10,9,SELL,SELL,SELL,SELL,SELL,CLOSED,18.8454,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0013371963449967453,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:06:00,EURGBP,0.8661,12,7,9,17,3,8,13,7,7,7,10,10,5,11,7,BUY,BUY,BUY,NEUTRAL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:07:00,EURUSD,1.13,11,8,9,12,7,9,12,6,9,6,11,10,2,13,8,BUY,BUY,BUY,SELL,SELL,CLOSED,1.1298,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.00017702248185517613,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:08:01,GBPCAD,1.7382,6,13,9,3,18,7,5,13,9,11,6,10,11,4,8,SELL,SELL,SELL,BUY,BUY,CLOSED,1.7399,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.000977067647565972,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:09:03,CADJPY,84.05,17,2,9,17,2,9,15,5,7,9,8,10,3,11,9,BUY,BUY,BUY,NEUTRAL,SELL,CLOSED,83.89,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.001907259506496562,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:10:04,CHFJPY,110.96,4,15,9,2,19,7,3,15,9,2,16,9,2,12,9,SELL,SELL,SELL,SELL,SELL,CLOSED,110.87,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.0008117615225037358,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:11:04,USDCHF,1.0088,19,3,6,20,2,6,17,1,9,16,1,10,12,1,10,BUY,BUY,BUY,BUY,BUY,CLOSED,1.0106,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.001781120126657455,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
